Image,Predicted Label
6943_x_1404_y_9690_z_125_top_2024_06_05_23_13_33_white.jpg,0
6943_x_718_y_13611_z_125_top_2024_06_10_23_47_43_white.jpg,1
6943_x_718_y_14214_z_125_top_2024_05_19_01_29_01_white.jpg,1
6943_x_2053_y_14666_z_125_top_2024_04_28_23_40_10_white.jpg,0
6943_x_2090_y_13309_z_125_top_2024_06_11_00_35_56_white.jpg,0
6943_x_2300_y_9991_z_125_top_2024_06_10_01_11_36_white.jpg,0
6943_x_1766_y_10595_z_125_top_2024_05_01_03_23_37_white.jpg,1
6943_x_1061_y_15420_z_125_top_2024_05_26_23_29_14_white.jpg,0
6943_x_2090_y_15420_z_125_top_2024_05_25_23_17_23_white.jpg,0
6943_x_725_y_14515_z_125_top_2024_05_02_00_39_59_white.jpg,0
6943_x_375_y_9690_z_125_top_2024_06_08_01_29_10_white.jpg,0
6943_x_2300_y_6372_z_125_top_2024_05_06_04_51_34_white.jpg,1
6943_x_32_y_13309_z_125_top_2024_06_09_00_27_32_white.jpg,0
6943_x_718_y_15269_z_125_top_2024_05_25_23_30_07_white.jpg,1
6943_x_2090_y_14214_z_125_top_2024_05_24_01_33_17_white.jpg,1
6943_x_2300_y_15269_z_125_top_2024_05_19_23_45_13_white.jpg,0
6943_x_32_y_14365_z_125_top_2024_05_20_01_12_41_white.jpg,1
6943_x_1766_y_14365_z_125_top_2024_05_02_01_00_45_white.jpg,1
6943_x_2090_y_9388_z_125_top_2024_06_13_02_17_15_white.jpg,0
6943_x_1747_y_13611_z_125_top_2024_06_08_23_56_24_white.jpg,1
6943_x_32_y_14365_z_125_top_2024_05_20_01_12_15_white.jpg,0
6943_x_1061_y_9841_z_125_top_2024_06_05_01_40_58_white.jpg,0
6943_x_1061_y_13611_z_125_top_2024_06_03_23_48_56_white.jpg,1
6943_x_2090_y_13158_z_125_top_2024_06_08_00_37_48_white.jpg,1
6943_x_1747_y_13460_z_125_top_2024_06_08_00_16_00_white.jpg,1
6943_x_375_y_6523_z_125_top_2024_05_08_03_01_57_white.jpg,1
6943_x_1404_y_9388_z_125_top_2024_06_06_02_18_04_white.jpg,0
6943_x_1072_y_11349_z_125_top_2024_05_01_01_34_29_white.jpg,0
6943_x_2090_y_9388_z_125_top_2024_06_11_23_17_32_white.jpg,1
6943_x_125_y_14968_z_125_top_2024_04_27_23_33_46_white.jpg,0
6943_x_375_y_9388_z_125_top_2024_06_10_02_33_24_white.jpg,0
6943_x_2300_y_13761_z_125_top_2024_06_03_23_36_22_white.jpg,1
6943_x_375_y_9388_z_125_top_2024_06_09_02_29_54_white.jpg,0
6943_x_32_y_14365_z_125_top_2024_05_01_00_47_37_white.jpg,1
6943_x_125_y_14968_z_125_top_2024_04_29_23_19_47_white.jpg,0
6943_x_1747_y_9388_z_125_top_2024_06_11_23_15_18_white.jpg,0
6943_x_1747_y_9388_z_125_top_2024_06_08_02_16_38_white.jpg,1
6943_x_1747_y_11047_z_125_top_2024_05_04_00_49_40_white.jpg,0
6943_x_2300_y_13158_z_125_top_2024_06_08_00_39_46_white.jpg,1
6943_x_2090_y_15269_z_125_top_2024_05_24_23_54_18_white.jpg,0
6943_x_2300_y_6523_z_125_top_2024_05_08_03_12_35_white.jpg,0
6943_x_2300_y_14365_z_125_top_2024_05_19_01_18_06_white.jpg,1
6943_x_1747_y_14214_z_125_top_2024_05_18_02_10_01_white.jpg,1
6943_x_1404_y_15420_z_125_top_2024_05_22_23_30_35_white.jpg,0
6943_x_718_y_13309_z_125_top_2024_06_06_00_31_52_white.jpg,0
6943_x_375_y_13158_z_125_top_2024_06_13_00_27_35_white.jpg,1
6943_x_1061_y_14365_z_125_top_2024_05_18_01_46_43_white.jpg,1
6943_x_1747_y_13158_z_125_top_2024_06_11_00_54_25_white.jpg,0
6943_x_1747_y_15269_z_125_top_2024_05_22_23_52_06_white.jpg,1
6943_x_1404_y_14515_z_125_top_2024_05_20_00_59_33_white.jpg,0
6943_x_2090_y_15420_z_125_top_2024_05_21_23_34_31_white.jpg,0
6943_x_1061_y_6523_z_125_top_2024_05_08_03_05_30_white.jpg,1
6943_x_1419_y_14666_z_125_top_2024_05_01_00_13_25_white.jpg,1
6943_x_125_y_8031_z_125_top_2024_04_24_00_39_09_white.jpg,0
6943_x_1404_y_9539_z_125_top_2024_06_07_01_58_22_white.jpg,0
6943_x_1072_y_15119_z_125_top_2024_04_30_23_28_50_white.jpg,0
6943_x_375_y_6674_z_125_top_2024_05_10_00_58_01_white.jpg,1
6943_x_1747_y_13309_z_125_top_2024_06_04_00_31_52_white.jpg,1
6943_x_2053_y_9539_z_125_top_2024_04_19_23_33_13_white.jpg,1
6943_x_2300_y_9539_z_125_top_2024_06_05_02_29_26_white.jpg,0
6943_x_2300_y_15269_z_125_top_2024_05_21_23_55_56_white.jpg,1
6943_x_375_y_14515_z_125_top_2024_05_25_00_44_08_white.jpg,1
6943_x_718_y_14365_z_125_top_2024_05_03_00_06_43_white.jpg,1
6943_x_375_y_11047_z_125_top_2024_05_06_00_50_43_white.jpg,1
6943_x_375_y_9991_z_125_top_2024_06_09_01_09_42_white.jpg,0
6943_x_375_y_14214_z_125_top_2024_05_23_01_25_35_white.jpg,1
6943_x_32_y_13158_z_125_top_2024_06_13_00_25_42_white.jpg,1
6943_x_32_y_11047_z_125_top_2024_05_01_02_09_14_white.jpg,1
6943_x_1089_y_14666_z_125_top_2024_04_27_23_44_42_white.jpg,0
6943_x_1747_y_6372_z_125_top_2024_05_06_04_47_52_white.jpg,0
6943_x_32_y_6825_z_125_top_2024_05_07_23_03_04_white.jpg,0
6943_x_2053_y_14666_z_125_top_2024_03_22_23_26_39_white.jpg,1
6943_x_1404_y_13460_z_125_top_2024_06_06_00_15_09_white.jpg,0
6943_x_32_y_14365_z_125_top_2024_05_26_01_06_35_white.jpg,1
6943_x_375_y_14063_z_125_top_2024_05_19_01_47_43_white.jpg,1
6943_x_1747_y_13611_z_125_top_2024_06_03_23_52_13_white.jpg,0
6943_x_2053_y_14365_z_125_top_2024_04_29_00_03_13_white.jpg,0
6943_x_1747_y_9539_z_125_top_2024_06_06_01_59_31_white.jpg,0
6943_x_2300_y_13761_z_125_top_2024_06_06_23_39_58_white.jpg,0
6943_x_375_y_9690_z_125_top_2024_06_08_01_29_05_white.jpg,0
6943_x_32_y_15269_z_125_top_2024_05_24_23_43_40_white.jpg,0
6943_x_125_y_9388_z_125_top_2024_03_26_12_07_18_white.jpg,0
6943_x_1747_y_13611_z_125_top_2024_06_09_23_58_10_white.jpg,0
6943_x_32_y_11047_z_125_top_2024_05_06_00_49_10_white.jpg,1
6943_x_2090_y_14214_z_125_top_2024_05_18_02_11_39_white.jpg,1
6943_x_2090_y_9690_z_125_top_2024_06_13_01_36_56_white.jpg,1
6943_x_32_y_9690_z_125_top_2024_06_10_01_43_11_white.jpg,0
6943_x_125_y_15119_z_125_top_2024_04_22_23_27_39_white.jpg,0
6943_x_1766_y_14666_z_125_top_2024_05_01_00_15_05_white.jpg,1
6943_x_375_y_13761_z_125_top_2024_06_04_23_26_53_white.jpg,0
6943_x_32_y_13611_z_125_top_2024_06_12_23_26_18_white.jpg,1
6943_x_2300_y_14214_z_125_top_2024_05_01_01_19_15_white.jpg,1
6943_x_375_y_15420_z_125_top_2024_05_20_23_16_38_white.jpg,0
6943_x_1404_y_14214_z_125_top_2024_05_20_01_39_06_white.jpg,0
6943_x_1061_y_9690_z_125_top_2024_06_08_01_32_58_white.jpg,1
6943_x_1404_y_9388_z_125_top_2024_06_13_02_13_45_white.jpg,1
6943_x_2090_y_15420_z_125_top_2024_05_25_23_17_13_white.jpg,0
